channels,headlines,times,links
CNBC Indonesia,"Jakarta, CNBC Indonesia - Situasi negara-negara Eropa sedang tidak baik-baik saja. Sejumlah masalah baru harus dihadapi benua itu saat ini.",11 jam lalu,https://www.cnbcindonesia.com/news/20220720175709-4-357212/eropa-sedang-tak-baik-baik-saja-ada-neraka-ada-kiamat
CNBC Indonesia,"Jakarta, CNBC Indonesia - Harga batu bara kembali melesat. Pada perdagangan Rabu (20/7/2022), harga batu kontrak Agustus di pasar ICE...",1 jam lalu,https://www.cnbcindonesia.com/market/20220721054538-17-357246/bumi-cs-sumringah-harga-batu-bara-kian-menghangat-lompat-3
CNBC Indonesia,"Jakarta, CNBC Indonesia - Kasus konfirmasi harian Covid-19 di tanah air terus melesat. Satuan Tugas Penanganan Covid-19 mengumumkan ada...",11 jam lalu,https://www.cnbcindonesia.com/news/20220720181901-16-357216/meledak-lagi-kasus-baru-covid-di-ri-nambah-5653-hari-ini
CNBC Indonesia,"Jakarta, CNBC Indonesia - Sudah 16 bulan Bank Indonesia (BI) menahan suku bunga acuan BI 7 day reverse repo rate (BI-7drr) di 3,5% dan...",2 jam lalu,https://www.cnbcindonesia.com/market/20220721005925-17-357243/menakar-langkah-bi-terkait-suku-bunga-acuan-naik-atau-tetap
CNBC Indonesia,"Jakarta, CNBC Indonesia - London, ibu kota Inggris, dalam status siaga. Ini terjadi seiring kenaikan suhu di negara itu, menjadi 40 derajat...",20 jam lalu,https://www.cnbcindonesia.com/news/20220720125448-4-357047/alert-london-dalam-status-insiden-besar-ada-apa
CNBC Indonesia,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) mengalami penguatan tajam lebih dari 2% pada perdagangan kemarin (20/7).",3 jam lalu,https://www.cnbcindonesia.com/market/20220721005536-17-357242/kunci-kenaikan-ihsg-menguji-resistance-6900
CNBC Indonesia,"Jakarta, CNBC Indonesia - Presiden Joko Widodo (Jokowi) memainkan peran penting dalam perang Rusia dan Ukraina yang tengah berlangsung.",20 jam lalu,https://www.cnbcindonesia.com/news/20220720122810-4-357036/presiden-mana-berani-datang-ke-wilayah-perang-bawa-istri
CNBC Indonesia,"Jakarta, CNBC Indonesia - Kementerian Investasi atau Badan Koordinasi Penanaman Modal (BKPM) mencatat realisasi investasi pada Kuartal...",12 jam lalu,https://www.cnbcindonesia.com/news/20220720173826-4-357208/kalahkan-anies-ridwan-kamil-kini-nomor-1-di-indonesia
CNBC Indonesia,"Jakarta, CNBC Indonesia- Pengamat Kebijakan Publik, Agus Pambagio menilai transparansi adn ketepatan data menjadi kunci keberhasilan...",16 jam lalu,https://www.cnbcindonesia.com/market/20220720162751-19-357168/akurasi-data-transparansi-kunci-keberhasilan-blu-batu-bara
CNBC Indonesia,"Jakarta, CNBC Indonesia - Resesi ekonomi Amerika Serikat (AS) semakin kencang digaungkan sejumlah lembaga. Namun kepala ekonom perusahaan...",16 jam lalu,https://www.cnbcindonesia.com/news/20220720133301-4-357072/jangan-kaget-resesi-ekonomi-as-disebut-palsu-ini-faktanya
